"","x"
"1",14.4771301325001
"2",12.5147249623498
"3",8.66384878452173
"4",4.58064381216145
"5",7.64942539355031
"6",14.1690638659654
"7",9.21501117928861
"8",11.7674459934239
"9",17.7226893950342
"10",10.6958966403575
"11",10.8850965808838
"12",4.60646397589014
"13",7.18685338608001
"14",10.7723567390394
"15",13.7434034484797
"16",10.2850664735968
"17",10.3183356559434
"18",4.22084487480603
"19",12.1916937881194
"20",12.241949880589
"21",9.7905476416346
"22",11.3546083999803
"23",10.314495160572
"24",12.4190133399482
"25",14.8506962089804
"26",7.81731701216772
"27",6.49814135497129
"28",8.03980707140968
"29",10.4742140420012
"30",9.20391156135966
"31",11.0061257908105
"32",10.1239889256616
"33",8.54099134573073
"34",6.69903789466269
"35",10.1457836745042
"36",7.0337032736087
"37",9.53877668060456
"38",17.2514176960814
"39",5.22880758659652
"40",8.28939995032363
"41",14.389368418112
"42",6.79154930664506
"43",11.2288805509433
"44",9.6441207448334
"45",10.2486825594692
"46",5.85967724879372
"47",7.48009779723548
"48",12.7335604752304
"49",10.5724363422815
"50",10.8976680498097
"51",12.7506797463627
"52",7.69429084744147
"53",12.1480530021501
"54",13.0050233866911
"55",5.70423979264883
"56",10.8633136743306
"57",14.2975489946253
"58",9.91259847751211
"59",12.1073859907844
"60",10.0202785354569
"61",8.98466804073902
"62",15.2758480092721
"63",19.8723507411423
"64",5.28199313201955
"65",6.28444365320687
"66",9.1597779932684
"67",10.9335289561482
"68",13.2380461104573
"69",12.2308181687917
"70",15.8399964871166
"71",8.28280234625222
"72",12.4888681147129
"73",10.0421803331808
"74",12.7258664773408
"75",10.238789566166
"76",10.6646129533366
"77",12.9109436375831
"78",9.75006545351956
"79",8.64434105470174
"80",8.56148431813103
"81",10.424921017832
"82",10.2776761581332
"83",13.0535007113087
"84",10.9469789994555
"85",10.8347242055204
"86",15.2148909385613
"87",8.74761012992227
"88",8.20761338843476
"89",6.73326870648019
"90",6.02563403007769
"91",9.91967320739155
"92",13.4247469240389
"93",8.29140971969541
"94",18.4112726864904
"95",14.4604901783537
"96",7.0749213746055
"97",4.88347036435296
"98",6.78198526219594
"99",13.4346627227216
"100",11.0755093869085
"101",11.8269894472617
"102",7.34630673911074
"103",4.71051209820727
"104",11.5071468477622
"105",9.60219602274036
"106",13.7297545720598
"107",11.5125684263271
"108",4.95053711664944
"109",12.5995393612628
"110",9.70964890776799
"111",10.1350646114756
"112",14.9566166964129
"113",7.24082531262939
"114",8.71947228092549
"115",6.34791059916052
"116",10.1076031000122
"117",12.1958678410589
"118",9.67347343012688
"119",10.0217546199413
"120",5.19765401032833
"121",3.92312664826215
"122",8.62176038981158
"123",15.1114830612897
"124",12.4740524806332
"125",8.27305710780226
"126",5.87460979680957
"127",9.22189089928013
"128",5.52693594754654
"129",9.74478486058438
"130",16.4401472620658
"131",9.29538457432881
"132",13.8778170650801
"133",10.7154143201914
"134",10.8934419273209
"135",12.6076133883218
"136",8.91367991686595
"137",11.5253679015172
"138",11.8943795963213
"139",3.32677370686009
"140",9.51454313027895
"141",8.40511189973536
"142",8.63263498339838
"143",16.1258188038082
"144",9.42593346272936
"145",9.0696273811558
"146",9.44013329354596
"147",9.37084207530816
"148",10.024643003762
"149",6.16794016721209
"150",10.125954407562
"151",10.4013652795005
"152",10.3517323248817
"153",5.07352972593311
"154",8.1514565229167
"155",8.51236098388623
"156",12.9598252020938
"157",12.4636142453228
"158",8.35319177338222
"159",7.79345626018736
"160",11.487129248553
"161",11.5516391692979
"162",6.63144774257258
"163",10.3275038817028
"164",6.4961869401252
"165",14.340696364074
"166",11.6339797613547
"167",13.0650070909321
"168",7.86503445491626
"169",10.9081714068448
"170",4.61262684080815
"171",12.5198692106145
"172",8.37689784000174
"173",13.9619643873012
"174",11.4318868073787
"175",13.3420374418794
"176",8.39687306799863
"177",8.50918047872605
"178",8.90352386841824
"179",12.0880623203394
"180",10.6302054214717
"181",15.2909966746987
"182",10.1305826096107
"183",6.80000330770022
"184",15.9917005541786
"185",17.3059436612012
"186",12.3707305260409
"187",15.1292217705844
"188",8.66812115929089
"189",8.57694160198355
"190",2.4
"191",9.40666879212651
"192",13.129620791271
"193",8.65677755086394
"194",6.44833525016066
"195",7.76232292585752
"196",11.5915945263811
"197",12.6008877538141
"198",9.34984253978298
"199",6.59594075665903
"200",10.7568872623154
"201",12.6267387603481
"202",8.70101672205958
"203",14.0117474703612
"204",6.91896378565945
"205",12.3713262018033
"206",4.86578487723324
"207",12.6763096520887
"208",11.3506053754618
"209",13.0160436083323
"210",8.64625920113587
"211",13.0245825836611
"212",9.73746506444197
"213",10.2146896865106
"214",10.1226148023913
"215",11.9537161122939
"216",11.3377419277902
"217",3.47814824764782
"218",9.82887168285479
"219",10.8371716966485
"220",8.40518256374638
"221",13.9320186479429
"222",7.26488778484752
